CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
556	717	-14.0145	0	0.826042	0.565091	17
717	1091	-28.03	0	0.834978	0.448115	17
715	1091	-28.0317	0	0.857224	0.552736	17
272	1092	-84.0959	0	0.748501	0.558685	17
587	715	-10.0209	0	0.728235	0.431302	17
903	1092	-14.0162	0	0.742676	0.431295	17
717	1092	-28.0314	0	0.78047	0.500705	17
331	424	-14.0151	0	0.813937	0.520776	17
587	903	-24.0378	0	0.723354	0.479741	17
278	331	-10.0217	0	0.751048	0.53594	17
2786	2804	-1.00482	0	0.840108	0.633901	19
2331	3386	-81.0417	0	0.80796	0.621629	19
3192	3345	-12.0012	0	0.8383	0.496864	19
3192	3347	-12.0013	0	0.839351	0.527182	19
3386	4591	-100.014	0	0.866205	0.639799	19
3369	3370	-0.000976562	0	0.847344	0.528279	19
3193	3556	-28.0303	0	0.858256	0.474092	19
2274	3220	-72.0213	0	0.834036	0.57904	19
3348	3369	-2.01331	0	0.839057	0.412681	19
2786	2788	-0.00134277	0	0.887055	0.578567	19
2822	3220	-31.989	0	0.865321	0.626936	19
2331	3859	-117.078	0	0.826204	0.520864	19
3416	3417	-6.10352e-05	0	0.803315	0.564493	19
2511	3081	-42.0131	0	0.803038	0.525201	19
3348	3751	-31.9891	0	0.852682	0.448583	19
998	3386	-163.085	0	0.804372	0.586919	19
3624	4143	-40.0322	0	0.822547	0.600391	19
2820	3081	-19.9713	0	0.876775	0.587278	19
2819	3859	-82.0421	0	0.854659	0.557523	19
3369	3554	-13.981	0	0.86512	0.628806	19
3631	3751	-10.0035	0	0.870239	0.438135	19
2786	3190	-31.9892	0	0.852395	0.588809	19
2274	3193	-70.0432	0	0.810555	0.4516	19
3009	3386	-31.989	0	0.845383	0.58926	19
3348	3859	-40.03	0	0.873754	0.511714	19
2821	3220	-31.9891	0	0.871491	0.556019	19
2274	2822	-40.0323	0	0.838728	0.578177	19
2274	2821	-40.0321	0	0.855304	0.507481	19
3009	3859	-68.025	0	0.858646	0.601725	19
2788	3190	-31.9879	0	0.83844	0.595484	19
3193	3628	-33.985	0	0.81849	0.49081	19
2991	3417	-35.0368	0	0.820506	0.517047	19
3007	3859	-68.027	0	0.867283	0.610405	19
2821	2854	-2.01263	0	0.881659	0.591223	19
3348	3624	-21.9822	0	0.884697	0.674586	19
998	1635	-40.0327	0	0.80799	0.608042	19
3007	3275	-21.9852	0	0.834984	0.478109	19
3193	3624	-33.9823	0	0.843488	0.522409	19
2244	2511	-19.9708	0	0.823434	0.545657	19
3345	4143	-62.0147	0	0.84103	0.467841	19
3192	3554	-27.9958	0	0.833165	0.54747	19
3192	3556	-28.0317	0	0.805679	0.586739	19
2331	3008	-49.0521	0	0.817748	0.589551	19
2331	3007	-49.0506	0	0.832157	0.562479	19
3220	4591	-114.03	0	0.858771	0.612924	19
3554	3751	-15.9948	0	0.854177	0.582805	19
3008	3275	-21.9837	0	0.824591	0.512719	19
