838_5	CC1CCC(C)(C)C2CCC(C)(C=C3C(=O)C(=CC3(C1=O)O)C)O2
838_6	CC12C(CCC(C2CC3O4)=CC3=C(C)C4=O)C(C)(C)C(O)C(O)C1
838_7	CC1CC2C(CCC3(C)C(C4C(=O)C(=CC4(C1=O)O)C)O3)C2(C)C
838_8	CC1(C)C(CCC2(C)C1CCC34C2CC(C(C=O)=C4)C(O)C3O)=O
838_9	C=C1CCC2C(C)(CCCC2(C)C(=O)O)C1CCC1=CCOC1=O
838_10	CC1CCC2(C)C(CCC(C2(C)O)O)C21C=C(c1ccoc1)OC2
838_11	C=C(C(OC)=O)C1=CC2(O)CCC3C(C)(C)CCCC3(C)C2C(O)C1=O
838_12	OC(C)(C)C(CCC(C1CC2O3)=CC2=C(C)C3=O)C1(C)CCC(OC)=O
838_13	CC1CCC2(C)C(=CCCC2C1(C)CCC1=CC(OC)OC1=O)C(=O)O
838_14	C=C1C2CCC3C4(C)CCCC(C)(C4CCC3(C2)OC1=O)C(=O)O
833_1	C=C1CCC2C(C)(CCCC2(C)C(=O)O)C1CCC1=CCOC1=O
833_2	C=C1C2CCC(=O)C3(C)C(CC(C(=C2)C1=O)O)C(C)(C)CCC3O
833_3	CC12C(CC(O)C(C2CC3O4)=CC3=C(C)C4=O)C(C)(C)C(O)CC1
833_4	O=C1C(C)=C2C=C3CCC4C(C)(C)C(O)CC(O)C4(C)C3CC2O1
833_5	CC1CCC2(C)C(CCC(C2(C)O)O)C21C=C(c1ccoc1)OC2
833_6	CC1(C)C(CCC2(C)C1CCC34C2CC(C(C=O)=C4)C(O)C3O)=O
833_7	CC1=C2C=C3CCC4C(C)(C)C(CCC4(C)C3(CC2OC1=O)O)O
833_8	CC12C(CCC(C2CC3O4)=CC3=C(C)C4=O)C(C)(C)C(O)C(O)C1
833_9	CC1CCC(C)(C)C2CCC(C)(C=C3C(=O)C(=CC3(C1=O)O)C)O2
833_10	CC1CC2C(CCC3(C)C(C4C(=O)C(=CC4(C1=O)O)C)O3)C2(C)C
45_1	CC(C)C(=C)CCC(C)C1CCC2C3CC(C4CC(CCC4(C)C3CCC12C)O)O
